,Airline,Source,Destination,Price,Day_of_Journey,Month_of_Journey,Dep_hour,Dep_min,Arrival_hour,Arrival_min,Duration_Hours,Duration_Minutes,No_of_stops,Cochin,Delhi,Hyderabad,Kolkata,New Delhi,Chennai,Delhi,Kolkata,Mumbai,Airline_Air India,Airline_GoAir,Airline_IndiGo,Airline_Jet Airways,Airline_Jet Airways Business,Airline_Multiple carriers,Airline_Multiple carriers Premium economy,Airline_SpiceJet,Airline_Vistara,Airline_Vistara Premium economy
549,Vistara,Kolkata,Banglore,8295,1,4,7,10,22,55,15,45,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
550,IndiGo,Banglore,New Delhi,12649,3,3,13,0,15,50,2,50,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
551,IndiGo,Chennai,Kolkata,3597,3,6,19,35,21,55,2,20,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
552,IndiGo,Kolkata,Banglore,5386,9,5,17,35,22,15,4,40,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
553,Multiple carriers,Delhi,Cochin,7005,6,6,11,40,21,0,9,20,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
554,Multiple carriers,Delhi,Cochin,6916,9,3,7,5,16,10,9,5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
555,IndiGo,Banglore,Delhi,5780,18,4,18,55,21,50,2,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
556,Jet Airways,Kolkata,Banglore,10031,24,3,8,25,16,20,7,55,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
557,Air India,Delhi,Cochin,8666,3,3,18,5,21,10,3,5,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
558,Air Asia,Banglore,Delhi,3383,6,4,11,10,13,55,2,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559,Air India,Delhi,Cochin,5201,18,6,14,5,17,55,3,50,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
560,IndiGo,Delhi,Cochin,6171,27,3,4,55,12,0,7,5,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
561,Jet Airways,Kolkata,Banglore,8586,18,5,18,55,4,40,9,45,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
562,Jet Airways,Banglore,Delhi,7229,9,5,15,15,18,10,2,55,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
563,Jet Airways,Kolkata,Banglore,10844,21,5,8,25,18,15,9,50,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
564,IndiGo,Banglore,Delhi,4823,3,4,7,10,10,5,2,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
565,Jet Airways,Mumbai,Hyderabad,3210,24,6,19,35,21,5,1,30,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
566,IndiGo,Delhi,Cochin,5684,27,6,10,35,1,30,14,55,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
567,Air India,Delhi,Cochin,11911,9,3,16,40,19,15,26,35,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
568,IndiGo,Delhi,Cochin,7640,18,5,14,20,22,30,8,10,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
569,Air India,Delhi,Cochin,5674,18,3,14,10,17,10,3,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
570,IndiGo,Mumbai,Hyderabad,2754,15,5,12,0,13,30,1,30,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
571,Multiple carriers,Delhi,Cochin,15135,3,3,10,45,18,50,8,5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
572,Jet Airways,Banglore,Delhi,7229,24,4,19,50,22,50,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
573,Jet Airways,Banglore,New Delhi,11087,12,3,18,55,10,45,15,50,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
574,Jet Airways,Delhi,Cochin,6017,27,3,2,15,4,25,26,10,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
575,Air India,Banglore,New Delhi,8032,15,3,11,50,13,0,25,10,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
576,Jet Airways,Kolkata,Banglore,8529,12,6,14,5,9,20,19,15,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
577,Air India,Kolkata,Banglore,7662,12,5,16,45,21,5,28,20,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
578,Multiple carriers,Delhi,Cochin,13377,27,5,18,15,1,30,7,15,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
579,SpiceJet,Banglore,Delhi,3919,21,6,21,10,0,5,2,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
580,SpiceJet,Chennai,Kolkata,3384,21,3,9,30,12,5,2,35,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
581,Multiple carriers,Delhi,Cochin,7485,21,5,19,0,1,30,6,30,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
582,Air India,Delhi,Cochin,13381,27,5,20,15,19,15,23,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
583,Air India,Delhi,Cochin,27282,3,3,9,45,23,0,13,15,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
584,SpiceJet,Kolkata,Banglore,4174,24,4,9,0,11,25,2,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
585,Air India,Delhi,Cochin,8372,21,5,13,0,19,15,6,15,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
586,SpiceJet,Mumbai,Hyderabad,1965,6,5,5,45,7,15,1,30,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
587,IndiGo,Banglore,New Delhi,4777,24,3,0,40,3,25,2,45,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
588,IndiGo,Banglore,New Delhi,22153,1,3,19,35,0,35,5,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
589,Multiple carriers,Delhi,Cochin,7155,27,6,4,55,19,15,14,20,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
590,Air India,Kolkata,Banglore,15107,21,5,14,30,23,15,8,45,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
591,Jet Airways,Banglore,Delhi,5769,12,6,17,45,20,45,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
592,Air India,Delhi,Cochin,7480,24,6,12,30,9,25,20,55,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
593,Multiple carriers,Delhi,Cochin,7723,1,6,13,0,1,30,12,30,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
594,Multiple carriers,Delhi,Cochin,14848,21,5,10,0,19,15,9,15,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
595,Jet Airways,Kolkata,Banglore,12692,9,6,17,0,19,10,26,10,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
596,Air India,Delhi,Cochin,10703,18,5,5,15,19,15,38,0,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
597,IndiGo,Delhi,Cochin,6412,27,6,14,20,22,30,8,10,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
598,Jet Airways,Banglore,New Delhi,7280,21,3,9,45,14,25,4,40,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
599,IndiGo,Delhi,Cochin,5883,3,6,11,25,1,30,14,5,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
600,IndiGo,Banglore,Delhi,4591,1,6,23,30,2,20,2,50,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
601,SpiceJet,Chennai,Kolkata,3543,21,6,9,45,12,0,2,15,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
602,Air Asia,Banglore,Delhi,4282,21,6,4,55,7,45,2,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603,Jet Airways,Delhi,Cochin,15974,6,3,8,0,4,25,20,25,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
604,GoAir,Banglore,Delhi,3898,9,6,20,55,23,40,2,45,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
605,SpiceJet,Kolkata,Banglore,4622,6,3,17,15,19,45,2,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
606,Air India,Delhi,Cochin,13748,3,3,5,55,19,15,37,20,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
607,Vistara,Banglore,Delhi,5403,24,4,11,30,14,20,2,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
608,SpiceJet,Banglore,Delhi,4423,15,4,9,30,12,20,2,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
609,IndiGo,Delhi,Cochin,6938,1,6,16,10,22,30,6,20,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
610,Multiple carriers,Delhi,Cochin,18275,12,6,17,50,1,30,7,40,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
611,IndiGo,Banglore,Delhi,4284,1,5,0,30,3,25,2,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
612,Air India,Banglore,Delhi,6961,9,6,10,0,12,45,2,45,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
613,Air Asia,Banglore,Delhi,6181,3,5,4,55,7,45,2,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
614,Jet Airways,Banglore,New Delhi,23001,9,3,8,55,15,55,7,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
615,Jet Airways,Kolkata,Banglore,12692,12,6,17,0,9,45,16,45,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
616,Jet Airways,Delhi,Cochin,10262,6,6,13,0,19,0,6,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
617,IndiGo,Delhi,Cochin,8075,27,3,15,0,1,35,10,35,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
618,SpiceJet,Kolkata,Banglore,3841,15,6,22,20,0,40,2,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
619,GoAir,Delhi,Cochin,5897,9,6,7,0,12,55,5,55,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
620,IndiGo,Kolkata,Banglore,5276,9,6,19,35,23,15,3,40,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
621,Jet Airways,Delhi,Cochin,10919,12,6,14,35,12,35,22,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
622,Jet Airways,Delhi,Cochin,15129,6,5,19,10,19,0,23,50,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
623,Jet Airways,Delhi,Cochin,14714,3,6,19,45,4,25,8,40,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
624,Jet Airways,Kolkata,Banglore,13067,6,5,9,35,10,55,25,20,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
625,SpiceJet,Banglore,Delhi,3625,21,6,9,30,12,20,2,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
626,Jet Airways,Delhi,Cochin,17024,3,3,13,55,4,25,14,30,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
627,IndiGo,Kolkata,Banglore,4804,24,4,20,20,22,55,2,35,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
628,Vistara,Banglore,New Delhi,7608,3,3,21,10,0,5,2,55,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
629,Air India,Delhi,Cochin,6094,15,5,5,10,8,0,2,50,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
630,Jet Airways,Delhi,Cochin,14441,12,6,5,30,12,35,7,5,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
631,Multiple carriers,Delhi,Cochin,9508,27,5,10,0,1,30,15,30,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
632,Air India,Mumbai,Hyderabad,3100,18,6,13,55,15,25,1,30,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
633,Multiple carriers,Delhi,Cochin,10877,9,6,4,55,12,35,7,40,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
634,Air India,Delhi,Cochin,5201,12,6,5,10,8,0,2,50,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
635,Jet Airways,Kolkata,Banglore,14388,21,5,18,55,8,15,13,20,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
636,IndiGo,Kolkata,Banglore,4804,24,5,22,15,0,50,2,35,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
637,Jet Airways,Delhi,Cochin,10262,27,6,19,45,19,0,23,15,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
638,Jet Airways,Delhi,Cochin,11627,3,6,10,0,4,25,18,25,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
639,Jet Airways,Delhi,Cochin,16289,9,3,20,50,18,50,22,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
640,Multiple carriers,Delhi,Cochin,6795,27,5,12,50,1,30,12,40,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
641,Jet Airways,Delhi,Cochin,15554,18,5,11,30,19,0,7,30,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
642,Jet Airways,Mumbai,Hyderabad,2228,3,4,2,55,4,20,1,25,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
643,Vistara,Banglore,Delhi,4668,3,6,7,0,9,40,2,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
644,Multiple carriers,Delhi,Cochin,7531,21,3,10,20,19,15,8,55,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
645,Air India,Kolkata,Banglore,5510,24,5,14,15,16,45,2,30,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
646,Jet Airways,Kolkata,Banglore,14781,12,5,14,5,23,35,9,30,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
647,Air India,Delhi,Cochin,9404,24,6,9,0,19,15,10,15,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
648,Jet Airways,Delhi,Cochin,15129,21,5,19,30,4,25,8,55,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
649,Vistara,Kolkata,Banglore,9870,24,5,17,0,20,20,27,20,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
650,Jet Airways,Kolkata,Banglore,10844,21,5,20,0,9,20,13,20,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
651,Multiple carriers,Delhi,Cochin,6795,9,6,15,15,1,30,10,15,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
652,Jet Airways,Kolkata,Banglore,7064,1,4,8,25,12,0,27,35,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
653,Air India,Kolkata,Banglore,12723,24,5,5,50,23,15,17,25,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
654,Multiple carriers,Delhi,Cochin,7155,24,6,11,25,19,15,7,50,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
655,SpiceJet,Chennai,Kolkata,3543,18,5,9,45,12,0,2,15,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
656,Jet Airways,Mumbai,Hyderabad,4995,6,5,10,20,11,50,1,30,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
657,Air India,Mumbai,Hyderabad,3100,27,5,19,30,20,45,1,15,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
658,Air Asia,Kolkata,Banglore,5192,1,4,7,35,19,25,11,50,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
659,Multiple carriers,Delhi,Cochin,14323,15,5,10,0,19,15,9,15,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
660,IndiGo,Delhi,Cochin,8049,3,3,8,35,21,20,12,45,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
661,Air India,Mumbai,Hyderabad,3100,6,6,21,5,22,25,1,20,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
662,Jet Airways,Delhi,Cochin,15764,9,3,21,50,18,50,21,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
663,Air Asia,Kolkata,Banglore,3807,27,6,19,55,22,25,2,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
664,Vistara,Banglore,New Delhi,6065,21,3,6,40,21,55,15,15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
665,Jet Airways,Banglore,New Delhi,13555,18,3,22,50,9,30,10,40,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
666,SpiceJet,Kolkata,Banglore,4174,27,4,9,0,11,25,2,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
667,Air India,Banglore,New Delhi,11003,1,3,10,30,22,55,12,25,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
668,Multiple carriers,Delhi,Cochin,23533,1,3,19,0,1,35,6,35,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
669,GoAir,Banglore,Delhi,3419,12,6,20,55,23,40,2,45,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
670,Air India,Kolkata,Banglore,6117,6,5,9,10,4,40,19,30,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
671,Jet Airways,Delhi,Cochin,20064,3,3,5,25,4,25,47,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
672,Air India,Banglore,Delhi,6121,1,5,10,0,12,45,2,45,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
673,Air Asia,Delhi,Cochin,11410,3,6,20,45,6,35,9,50,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
674,Air India,Delhi,Cochin,11762,9,3,21,30,19,15,21,45,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
675,Jet Airways,Banglore,New Delhi,16736,6,3,5,45,19,10,13,25,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
676,Jet Airways,Kolkata,Banglore,10844,9,6,16,30,22,35,6,5,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
677,Air Asia,Banglore,New Delhi,4482,9,3,23,25,2,10,2,45,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
678,IndiGo,Banglore,Delhi,4823,3,5,16,55,19,55,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
679,Multiple carriers,Delhi,Cochin,15237,3,3,4,0,18,50,14,50,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
680,Air India,Kolkata,Banglore,10697,18,5,8,20,7,55,23,35,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
681,IndiGo,Kolkata,Banglore,6116,6,6,19,35,23,15,3,40,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
682,GoAir,Delhi,Cochin,3876,24,6,10,35,19,35,9,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
683,Jet Airways,Delhi,Cochin,13029,18,5,5,30,4,25,22,55,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
684,Air India,Delhi,Cochin,8372,9,5,9,0,19,15,10,15,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
685,Jet Airways,Delhi,Cochin,10262,9,6,13,0,19,0,6,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
686,Air India,Delhi,Cochin,7480,24,5,20,40,9,25,12,45,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
687,Vistara,Kolkata,Banglore,8610,12,6,7,10,23,25,16,15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
688,Air India,Kolkata,Banglore,11668,18,5,9,25,1,20,15,55,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
689,Jet Airways,Kolkata,Banglore,8529,12,6,16,30,9,20,16,50,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
690,IndiGo,Delhi,Cochin,5000,24,6,14,20,17,35,3,15,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
691,Jet Airways,Banglore,Delhi,7229,15,6,15,15,18,10,2,55,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
692,Jet Airways,Banglore,New Delhi,14815,6,3,14,5,5,5,15,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
693,Multiple carriers,Delhi,Cochin,14067,21,5,11,30,1,30,14,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
694,Jet Airways,Delhi,Cochin,15190,12,6,7,5,19,0,11,55,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
695,Jet Airways,Kolkata,Banglore,10953,1,4,9,35,21,5,11,30,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
696,Multiple carriers,Delhi,Cochin,13377,1,6,14,0,1,30,11,30,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
697,Air India,Delhi,Cochin,12488,12,6,12,20,19,15,30,55,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
698,SpiceJet,Mumbai,Hyderabad,2017,6,6,22,45,0,15,1,30,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
699,Jet Airways,Kolkata,Banglore,10844,18,5,8,25,20,45,12,20,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
700,Air India,Kolkata,Banglore,15894,6,6,14,30,8,55,18,25,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
701,IndiGo,Banglore,New Delhi,12649,1,3,21,20,0,15,2,55,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
702,IndiGo,Banglore,Delhi,4823,18,5,8,30,11,20,2,50,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
703,Air India,Delhi,Cochin,8372,27,6,8,0,19,15,11,15,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
704,Jet Airways,Banglore,New Delhi,13817,12,3,22,55,15,15,16,20,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
705,Jet Airways,Delhi,Cochin,17024,3,3,8,0,18,50,10,50,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
706,Multiple carriers,Delhi,Cochin,6427,27,3,15,15,1,35,10,20,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
707,Jet Airways,Delhi,Cochin,16079,27,6,22,50,4,25,5,35,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
708,Jet Airways,Banglore,New Delhi,54826,1,3,16,55,23,0,6,5,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
709,Jet Airways,Delhi,Cochin,10262,1,6,22,50,12,35,13,45,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
710,IndiGo,Mumbai,Hyderabad,2227,18,3,21,20,22,45,1,25,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
711,Jet Airways,Kolkata,Banglore,14151,12,5,20,25,9,45,13,20,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
712,Vistara,Banglore,New Delhi,7608,24,3,12,0,14,40,2,40,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
713,Vistara,Kolkata,Banglore,8610,1,5,17,0,20,20,27,20,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
714,Air India,Delhi,Cochin,10975,15,5,7,5,9,25,26,20,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
715,Air India,Delhi,Cochin,7934,21,3,13,0,19,15,6,15,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
716,Jet Airways,Delhi,Cochin,15129,18,5,9,40,12,35,26,55,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
717,Jet Airways,Kolkata,Banglore,10844,9,6,20,0,16,20,20,20,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
718,Jet Airways,Mumbai,Hyderabad,2759,15,3,19,35,21,5,1,30,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
719,Jet Airways,Kolkata,Banglore,10539,12,6,20,25,9,45,13,20,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
720,Air India,Delhi,Cochin,10651,15,5,12,0,7,40,19,40,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
721,Multiple carriers,Delhi,Cochin,11789,15,6,11,40,19,0,7,20,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
722,Jet Airways,Kolkata,Banglore,8529,12,6,14,5,12,0,21,55,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
723,Jet Airways,Delhi,Cochin,10262,15,6,22,50,12,35,13,45,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
724,GoAir,Delhi,Cochin,7870,27,6,14,25,19,35,5,10,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
